,0
2126,66171
2127,354570
2128,66214
2129,306709
2130,559
2131,302336
2132,85036
2133,40237
2134,2570
2135,228959
2136,212346
2137,229218
2138,349463
2139,112092
2140,1563
2141,320390
2142,199904
2143,35761
2144,88408
2145,285894
2146,9027
2147,148601
2148,323255
2149,281152
2150,295577
2151,218311
2152,218208
2153,367220
2154,197572
2155,102237
2156,150293
2157,15953
2158,231038
2159,173761
2160,133632
2161,158339
2162,265256
2163,266964
2164,443
2165,257283
2166,73316
2167,130060
2168,99
2169,58110
2170,302312
2171,185538
2172,28
2173,212281
2174,117
2175,227758
2176,6819
2177,1111
2178,68820
2179,118536
2180,250442
2181,313262
2182,224904
2183,206327
2184,12166
2185,40769
2186,172503
2187,67254
2188,8481
2189,1270
2190,231327
2191,228411
2192,180901
2193,21632
2194,255507
2195,123219
2196,2596
2197,261393
2198,634
2199,126996
2200,323613
2201,71882
2202,7
2203,3570
2204,17025
2205,25277
2206,128898
2207,205867
2208,67888
2209,268504
2210,191004
2211,151247
2212,40990
2213,222219
2214,271060
2215,189052
2216,195372
2217,241987
2218,281075
2219,15510
2220,31790
2221,209324
2222,144864
2223,2569
2224,245352
2225,154509
2226,5781
2227,22245
2228,282435
2229,36399
2230,37371
2231,27848
2232,316622
2233,162823
2234,249411
2235,330036
2236,19764
2237,382
2238,280789
2239,322588
2240,181293
2241,196354
2242,255615
2243,344554
2244,315881
2245,154875
2246,43152
2247,205494
2248,36946
2249,638
2250,227466
2251,271321
2252,315695
2253,326933
2254,66849
2255,191925
2256,173105
2257,136056
2258,137031
2259,125
2260,154182
2261,198609
2262,193867
2263,274428
2264,159692
2265,29972
2266,132
2267,317504
2268,29073
2269,84732
2270,247104
2271,303051
2272,247585
2273,38531
2274,245658
2275,262477
2276,292126
2277,239840
2278,67185
2279,17240
2280,220588
2281,205045
2282,2603
2283,31483
2284,302520
2285,295488
2286,92044
2287,291847
2288,131835
2289,17053
2290,15290
2291,35488
2292,163841
2293,262547
2294,317231
2295,770
2296,156138
2297,299607
2298,589
2299,72
2300,4209
2301,234621
2302,15839
2303,205507
2304,215463
2305,65907
2306,211364
2307,231567
2308,274093
2309,326934
2310,20134
2311,111148
2312,40381
2313,217
2314,198138
2315,279869
2316,365104
2317,260789
2318,175621
2319,29839
2320,384
2321,10997
2322,214293
2323,142121
2324,41627
2325,216094
2326,158572
2327,262540
2328,230200
2329,8730
2330,40529
2331,215471
2332,144270
2333,129050
2334,234396
2335,271519
2336,8107
2337,235817
2338,277699
2339,180956
2340,315060
2341,342562
2342,949
2343,9341
2344,14
2345,154906
2346,224272
2347,203780
2348,310789
2349,3085
2350,260757
2351,4218
2352,267401
2353,30367
2354,258074
2355,204286
2356,15600
2357,15318
2358,295948
2359,144415
2360,335275
2361,62871
2362,170587
2363,209325
2364,158109
2365,257759
2366,119637
2367,16366
2368,280748
2369,236461
2370,105593
2371,189453
2372,199793
2373,231280
2374,283387
2375,40398
2376,4491
2377,10550
2378,245045
2379,4192
2380,176530
2381,22143
2382,209671
2383,265683
2384,9364
2385,118705
2386,226519
2387,256852
2388,200934
2389,248900
2390,253506
2391,9215
2392,358504
2393,292974
2394,289081
2395,256874
2396,4394
2397,201248
2398,280032
2399,220827
2400,94480
2401,1042
2402,144568
2403,219217
2404,200454
2405,39206
2406,37120
2407,67180
2408,296626
2409,254127
2410,335427
2411,145203
2412,251890
2413,81453
2414,259061
2415,281515
2416,157789
2417,76417
2418,251293
2419,216199
2420,204801
2421,233868
2422,80771
2423,83667
2424,257066
2425,256066
2426,1116
2427,76150
2428,45748
2429,11057
2430,258309
2431,36400
2432,200890
2433,331212
2434,172547
2435,67928
2436,253185
2437,11229
2438,300751
2439,111732
2440,103649
2441,18748
2442,345868
2443,90305
2444,21791
2445,1155
2446,185123
2447,340364
2448,350205
2449,142296
2450,511
2451,237211
2452,73070
2453,1484
2454,37196
2455,251053
2456,256804
2457,16991
2458,162
2459,216658
2460,276925
2461,8095
2462,103686
2463,143157
2464,245271
2465,266722
2466,181960
2467,987
2468,5867
2469,39927
2470,124827
2471,4741
2472,329716
2473,123609
2474,295944
2475,137423
2476,181797
2477,118418
2478,691
2479,139899
2480,1044
2481,631
2482,19995
2483,322561
2484,798
2485,284775
2486,256
2487,244
2488,153
2489,83734
2490,66587
2491,296043
2492,19643
2493,158340
2494,173634
2495,23107
2496,18866
2497,19427
2498,153623
2499,215613
2500,77
2501,17161
2502,299592
2503,232666
2504,38506
2505,293348
2506,2381
2507,345976
2508,234948
2509,251747
2510,233955
2511,229713
2512,169147
